,,,,,,,,,,"Normalised abundance",,,,,,,,,,,,"Raw abundance",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"PBQCs",,,,,,,,,,,,"PBQCs",,,,,,,,,,,,"Tags",,,,,,,,,,,
"Compound","Neutral mass (Da)","m/z","Charge","Retention time (min)","Chromatographic peak width (min)","Identifications","Isotope Distribution","Maximum Abundance","Minimum CV%","210527_AA210511_A_PBQC_1","210527_AA210511_A_PBQC_2","210527_AA210511_A_PBQC_3","210527_AA210511_A_PBQC_4","210527_AA210511_A_PBQC_7","210527_AA210511_A_PBQC_8","210527_AA210511_A_PBQC_9","210527_AA210511_A_PBQC_10","210527_AA210511_A_PBQC_11","210527_AA210511_A_PBQC_12","210527_AA210511_A_PBQC_13","210527_AA210511_A_PBQC_14","210527_AA210511_A_PBQC_1","210527_AA210511_A_PBQC_2","210527_AA210511_A_PBQC_3","210527_AA210511_A_PBQC_4","210527_AA210511_A_PBQC_7","210527_AA210511_A_PBQC_8","210527_AA210511_A_PBQC_9","210527_AA210511_A_PBQC_10","210527_AA210511_A_PBQC_11","210527_AA210511_A_PBQC_12","210527_AA210511_A_PBQC_13","210527_AA210511_A_PBQC_14","Minimum CV >= 30","Anova p-value <= 0.05","Accepted Compound ID","Accepted Description","Adducts","Formula","Score","Fragmentation Score","Mass Error (ppm)","Isotope Similarity","Retention Time Error (mins)","Compound Link"
"2.02_116.9285m/z",,"116.928477922372","1","2.0179","2.07125","0","100 - 9.59 - 1.72","531106239.283937","44.93","818918782.843531","832557086.645029","839158283.648773","761070330.878474","671198159.103312","500965416.144175","415368219.854901","376077649.724874","368143842.096171","315849768.668311","215824890.530423","258142441.269273","728113742.472927","757786290.648276","757896253.485991","697435083.38908","629296399.714806","477531371.73591","403142804.587872","376077649.724874","376510292.019832","311619026.5418","211573402.151217","239258175.155675","x",,,,,,,,,,,
"2.04_103.0398m/z",,"103.039834558676","1","2.04113333333333","0.50305","9","100 - 0.131","10812561.4390614","21.55","18149574.2891345","9670390.50921337","9983981.85301616","10017078.5688996","10707643.9035982","10409171.1871588","10379229.3963858","9758021.382176","9946457.36081311","10440963.6418491","10084934.2620284","10203290.9144633","16137075.7843237","8801906.1643295","9017157.53596748","9179522.23804536","10039183.9080199","9922253.38406858","10073740.4748527","9758021.382176","10172500.9011675","10301109.0999029","9886273.29797234","9456874.86634742",,,,,,,,,,,,
"2.04_118.9179m/z",,"118.917938284761","1","2.04113333333333","1.47378333333333","0","100","1815294.17515056","58.68","4109619.75674137","2961463.67523444","2707822.93216044","2562022.26123929","1671523.98200081","1289424.76202374","1749459.65563959","1487314.43268151","897983.195905174","897912.561468403","528744.706077585","920238.180634332","3653928.42844755","2695498.73437369","2445604.00031374","2347804.31835993","1567173.58300764","1229108.34863347","1697968.30468698","1487314.43268151","918390.793647546","885885.208984515","518329.07714836","852918.670500525","x",,,,,,,,,,,
"2.04_194.9056m/z",,"194.905555514832","1","2.04113333333333","1.60111666666667","0","100 - 3.9","56256224.2463257","21.61","59309608.4126997","67245956.9549146","68282741.644639","70927014.5255954","74839922.4198535","53673636.1233095","51639337.55003","48538661.5917447","48980551.2060181","45617793.8318282","33385553.719851","52633912.9754248","52733118.1683564","61206690.9277117","61670408.4063884","64996605.8105291","70167793.3632414","51162903.1826054","50119451.5416976","48538661.5917447","50093684.9381082","45006752.9471172","32727898.834335","48783508.4687475",,,,,,,,,,,,
"2.04_216.8533m/z",,"216.853293498845","1","2.04113333333333","1.07491666666667","0","100 - 6.16 - 0.825","7818533.37920212","131.84","28906819.3885092","20320897.2476579","18499712.0008771","12635813.1635905","12289125.7390426","911814.495488393","109059.379101011","149159.136158675","0","0","0","0","25701513.8605972","18495905.6801746","16708245.261037","11579297.0109155","11521936.5225221","869161.847838909","105849.465259408","149159.136158675","0","0","0","0","x",,,,,,,,,,,
"2.06_118.9324m/z",,"118.932427919692","1","2.0639","1.58021666666667","0","100","2290390.17794909","49.20","3606978.12616239","3755342.26328622","3758472.82063925","3390468.85208223","2805893.03730274","2169615.33994036","1835821.69244372","1569817.85271748","1577243.86004314","1337795.62674108","633439.928646873","1043792.73538355","3207021.74315604","3418080.18868463","3394511.53029868","3106982.14165128","2630725.90770869","2068125.57520502","1781788.47210205","1569817.85271748","1613088.35956626","1319876.13185407","620961.93091015","967434.660804626","x",,,,,,,,,,,
"2.06_172.9575m/z",,"172.95751934587","1","2.0639","3.56181666666667","1","100","3671365.38422651","115.25","304807.871670219","167026.203973106","94811.9310496784","239737.642089534","489451.227037769","738506.329395335","3599425.94775352","4015034.66121123","6038423.37569933","5634762.02104366","10365784.1497437","12368613.250051","271009.536997535","152025.812499998","85630.576171967","219692.498338783","458895.619473016","703960.651068801","3493485.06246003","4015034.66121123","6175652.79804414","5559285.55273466","10161590.78379","11463794.2558489","x",,,,,,,,,,,
"2.06_212.0747m/z",,"212.074730027589","1","2.0639","1.55898333333333","0","100 - 2.57","15031475.7624278","10.33","10708843.3003808","14819635.9236081","14582812.3339052","15018835.8047937","15049590.8907878","15931859.3283616","14933444.3770042","14362886.1370357","16500010.5227838","16550572.6745792","15682077.3520278","16237140.5038654","9521403.26531769","13488704.9974713","13170648.5516646","13763068.3748146","14110070.5302974","15186602.496302","14493912.5347758","14362886.1370357","16874990.3431517","16328881.1871121","15373159.4628071","15049321.5590564",,,,,,,,,,,,
