,,,,,,,,,,"Normalised abundance",,,,,,,,,,,,"Raw abundance",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"PBQCs",,,,,,,,,,,,"PBQCs",,,,,,,,,,,,"Tags",,,,,,,,,,,
"Compound","Neutral mass (Da)","m/z","Charge","Retention time (min)","Chromatographic peak width (min)","Identifications","Isotope Distribution","Maximum Abundance","Minimum CV%","210527_AA210511_A_PBQC_1","210527_AA210511_A_PBQC_2","210527_AA210511_A_PBQC_3","210527_AA210511_A_PBQC_4","210527_AA210511_A_PBQC_7","210527_AA210511_A_PBQC_8","210527_AA210511_A_PBQC_9","210527_AA210511_A_PBQC_10","210527_AA210511_A_PBQC_11","210527_AA210511_A_PBQC_12","210527_AA210511_A_PBQC_13","210527_AA210511_A_PBQC_14","210527_AA210511_A_PBQC_1","210527_AA210511_A_PBQC_2","210527_AA210511_A_PBQC_3","210527_AA210511_A_PBQC_4","210527_AA210511_A_PBQC_7","210527_AA210511_A_PBQC_8","210527_AA210511_A_PBQC_9","210527_AA210511_A_PBQC_10","210527_AA210511_A_PBQC_11","210527_AA210511_A_PBQC_12","210527_AA210511_A_PBQC_13","210527_AA210511_A_PBQC_14","Minimum CV >= 30","Anova p-value <= 0.05","Accepted Compound ID","Accepted Description","Adducts","Formula","Score","Fragmentation Score","Mass Error (ppm)","Isotope Similarity","Retention Time Error (mins)","Compound Link"
"2.01_193.1336m/z",,"193.133647392639","1","2.0051","0.844033333333333","2","100 - 7.98 - 1.94","2697626.39439345","13.87","3203622.07262516","3241226.05031035","3174014.4922604","3163051.6349283","2411088.47140747","2618152.87635989","2471328.5666588","2513426.09031534","2405000.33342156","2423640.91843805","2369792.64990266","2377172.57609338","2903672.34230676","2897851.13902869","2874168.37597957","2802858.34424643","2206553.94707113","2524652.93396042","2477450.08860833","2513426.09031534","2413103.66486327","2317997.17951078","2274655.72623798","2211757.54312387",,"x",,,,,,,,,,
"2.03_111.0554m/z",,"111.055371064328","1","2.0282","1.68506666666667","0","100 - 2.15","61420289.939813","64.76","122598143.621837","114697423.280723","106968226.517364","102175964.574854","70829688.1633984","50574476.4154843","39139874.8574717","33593177.7629477","28910008.1463396","25322795.549794","22034054.5356058","20199645.851937","111119486.251127","102546398.65858","96863040.3674929","90540651.2266912","64821150.2150023","48768351.695103","39236824.9782587","33593177.7629477","29007416.6060129","24219003.8199139","21149482.5607271","18794057.9202178","x",,,,,,,,,,,
"2.03_117.1387m/z",,"117.138661260274","1","2.0282","0.5251","0","100 - 4.66","556.724289652473","303.34","0","164.219017428605","628.484396364913","0","0","0","0","0","0","0","5887.98806203616","0","0","146.821683930404","569.112075963528","0","0","0","0","0","0","0","5651.61081155415","0","x",,,,,,,,,,,
"2.03_132.1020m/z",,"132.101986784794","1","2.0282","0.182816666666667","0","100 - 3.33","341435.986046979","135.96","0","0","0","0","1606825.84215883","584258.511330117","435720.322891046","379035.046875237","229331.436154891","663198.71177832","83538.0344651202","115323.926910183","0","0","0","0","1470517.54687449","563393.367186313","436799.609375416","379035.046875237","230104.138183802","634290.637553709","80184.3437494655","107299.136718732","x",,,,,,,,,,,
"2.03_136.1122m/z",,"136.11216358127","1","2.0282","0.20595","0","100","56105.7794223875","107.25","31083.0461435026","0","0","0","79738.4494925544","32980.4846359012","28093.2558952217","82667.3027341918","118540.011197567","205793.773620442","66102.2274005165","28270.8019487536","28172.7929685461","0","0","0","72974.1743397822","31802.6796873794","28162.8433571709","82667.3027341918","118939.416131732","196823.458122044","63448.5089148395","26303.5843880863","x",,,,,,,,,,,
"2.03_138.0914m/z",,"138.091404546001","1","2.0282","0.70745","0","100","1711801.51069444","253.38","606538.138675303","575263.946814643","485356.663229166","529279.374035891","15482450.7748802","495195.647125757","431941.385996841","403931.487036601","360079.880050413","396106.25293391","387028.975873109","388445.601681403","549748.995948989","514320.586606211","439505.483017116","469007.553835792","14169062.3437405","477511.131870445","433011.311991693","403931.487036601","361293.121717365","378840.433870508","371491.43669846","361415.699580401","x",,,,,,,,,,,
"2.03_203.1836m/z",,"203.183584925245","1","2.0282","0.547766666666667","0","100","15715.6985749338","115.42","30667.2506816546","52912.4888795181","0","0","0","27926.1898370968","31688.7778547324","0","0","26473.1247165221","18920.5509296823","0","27795.927734366","47306.9492186985","0","0","0","26928.8847657308","31767.2714843568","0","0","25319.1914523718","18160.972656214","0","x",,,,,,,,,,,
"2.03_400.2438m/z",,"400.243764705447","1","2.0282","0.365483333333333","0","100 - 21.4","169445.199296898","176.78","0","0","912311.388249831","584019.368213748","0","0","0","185108.539062248","351903.096036952","0","0","0","0","0","826126.203124645","517514.017578324","0","0","0","185108.539062248","353088.78710856","0","0","0","x",,,,,,,,,,,
