,,,,,,,,,,,,,,,"Normalised abundance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Raw abundance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"DEN_Adj_Fasted24h",,,,,,,"DEN_Tumour_Fasted24h",,,,,,,"Control_Fasted24h",,,,,,"DEN_adj_Fed",,,,,,,,"DEN_Tumour_Fed",,,,,,,"Control_Fed",,,,,"PBQCs",,,,,,,,"DEN_Adj_Fasted24h",,,,,,,"DEN_Tumour_Fasted24h",,,,,,,"Control_Fasted24h",,,,,,"DEN_adj_Fed",,,,,,,,"DEN_Tumour_Fed",,,,,,,"Control_Fed",,,,,"PBQCs",,,,,,,,"Tags",,,,,,,,,,,
"Compound","Neutral mass (Da)","m/z","Charge","Retention time (min)","Chromatographic peak width (min)","Identifications","Anova (p)","q Value","Max Fold Change","Highest Mean","Lowest Mean","Isotope Distribution","Maximum Abundance","Minimum CV%","210527_AA210511_A_1","210527_AA210511_A_2","210527_AA210511_A_3","210527_AA210511_A_4","210527_AA210511_A_5","210527_AA210511_A_6","210527_AA210511_A_7","210527_AA210511_A_8","210527_AA210511_A_9","210527_AA210511_A_10","210527_AA210511_A_11","210527_AA210511_A_12","210527_AA210511_A_13","210527_AA210511_A_14","210527_AA210511_A_15","210527_AA210511_A_16","210527_AA210511_A_17","210527_AA210511_A_18","210527_AA210511_A_19","210527_AA210511_A_20","210527_AA210511_A_21","210527_AA210511_A_22","210527_AA210511_A_23","210527_AA210511_A_24","210527_AA210511_A_25","210527_AA210511_A_26","210527_AA210511_A_27","210527_AA210511_A_29","210527_AA210511_A_30","210527_AA210511_A_31","210527_AA210511_A_32","210527_AA210511_A_33","210527_AA210511_A_34","210527_AA210511_A_35","210527_AA210511_A_36","210527_AA210511_A_38","210527_AA210511_A_39","210527_AA210511_A_40","210527_AA210511_A_41","210527_AA210511_A_42","210527_AA210511_A_PBQC_7","210527_AA210511_A_PBQC_8","210527_AA210511_A_PBQC_9","210527_AA210511_A_PBQC_10","210527_AA210511_A_PBQC_11","210527_AA210511_A_PBQC_12","210527_AA210511_A_PBQC_13","210527_AA210511_A_PBQC_14","210527_AA210511_A_1","210527_AA210511_A_2","210527_AA210511_A_3","210527_AA210511_A_4","210527_AA210511_A_5","210527_AA210511_A_6","210527_AA210511_A_7","210527_AA210511_A_8","210527_AA210511_A_9","210527_AA210511_A_10","210527_AA210511_A_11","210527_AA210511_A_12","210527_AA210511_A_13","210527_AA210511_A_14","210527_AA210511_A_15","210527_AA210511_A_16","210527_AA210511_A_17","210527_AA210511_A_18","210527_AA210511_A_19","210527_AA210511_A_20","210527_AA210511_A_21","210527_AA210511_A_22","210527_AA210511_A_23","210527_AA210511_A_24","210527_AA210511_A_25","210527_AA210511_A_26","210527_AA210511_A_27","210527_AA210511_A_29","210527_AA210511_A_30","210527_AA210511_A_31","210527_AA210511_A_32","210527_AA210511_A_33","210527_AA210511_A_34","210527_AA210511_A_35","210527_AA210511_A_36","210527_AA210511_A_38","210527_AA210511_A_39","210527_AA210511_A_40","210527_AA210511_A_41","210527_AA210511_A_42","210527_AA210511_A_PBQC_7","210527_AA210511_A_PBQC_8","210527_AA210511_A_PBQC_9","210527_AA210511_A_PBQC_10","210527_AA210511_A_PBQC_11","210527_AA210511_A_PBQC_12","210527_AA210511_A_PBQC_13","210527_AA210511_A_PBQC_14","Minimum CV >= 30","Anova p-value <= 0.05","Accepted Compound ID","Accepted Description","Adducts","Formula","Score","Fragmentation Score","Mass Error (ppm)","Isotope Similarity","Retention Time Error (mins)","Compound Link"
"3.53_429.2489m/z",,"429.248907845455","1","3.53475","0.29685","1","0","0","Infinity","DEN_Adj_Fasted24h","DEN_Tumour_Fasted24h","100 - 23","4395912.40401639","69.91","7865961.05249497","2711415.61442532","978407.583772115","4832374.95732085","577980.295152211","8078736.90843847","5726510.41651081","0","0","0","0","0","0","0","0","0","0","0","1254674.0749286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7922793.34319971","2737289.16184152","976440.869189993","4233789.73320635","478986.832956838","6293359.37535508","6245754.51249132","0","0","0","0","0","0","0","0","0","0","0","1482824.61110964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"x",,,,,,,,,,
"9.13_185.0122m/z",,"185.01218569452","1","9.13375","0.271583333333334","0","0","0","Infinity","DEN_Adj_Fasted24h","DEN_Tumour_Fasted24h","100","1030214.51538833","29.58","1011057.5640855","1016705.39642941","641289.921854873","1211216.88905083","1339543.9379972","1366486.41863059","625201.479669887","0","0","0","0","0","0","0","1427045.41344367","1159008.37029476","956327.061815876","1145744.99508298","646729.913715939","630935.073112805","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","326117.71158632","967135.088281322","1035522.53440326","423993.651837301","643999.035569658","79098.4958216364","0","75937.0667453914","226064.054688112","155373.883004135","206414.980067733","258826.167821098","202424.161420987","1018362.54780178","1026407.25664696","640000.853514031","1061183.71915258","1110113.81157699","1064496.86522177","681890.833832394","0","0","0","0","0","0","0","1091853.89062453","995329.908450099","1119016.03022871","984367.743264367","764331.591734992","1060884.21482728","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","366250.608338541","810698.854780203","834182.34271972","785851.092264133","1024866.6555378","79565.4687499394","0","75702.9327935658","226064.054688112","157803.426548041","203229.179688072","249795.898101567","193778.30859431","x",,,,,,,,,,,
"9.02_184.9676m/z",,"184.967575590675","1","9.01891666666667","0.249400000000001","1","0","0","Infinity","DEN_Adj_Fasted24h","DEN_Tumour_Fasted24h","100","190627.19156293","51.74","127510.83267773","179503.083082346","173758.555036494","185840.276102942","247028.29065661","368490.726565418","52258.5768189695","0","0","0","0","0","0","0","323033.412414568","143118.503889842","141982.488927692","257011.447323888","74951.2703601387","50697.9218227017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11422.6295229854","190802.462207968","102715.391094888","23249.9790253809","72823.2793687006","18712.7658822524","0","0","70472.1171875193","48068.9858882908","71496.2038681806","108939.877618934","76363.9479837269","128432.110149406","181215.982243498","173409.279857493","162820.28193795","204718.56840931","287055.339843976","56997.0572379272","0","0","0","0","0","0","0","247157.718194431","122906.901300431","166136.343376266","220811.593749971","88580.4453481439","85245.894987099","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12828.3281250484","159939.743139842","82744.0859375242","43092.6768196635","115891.712020775","18823.2402343866","0","0","70472.1171875193","48820.6289062097","70392.7343750613","105139.039062334","73102.3242185764","x",,,,,,,,,,,
"3.62_621.3338m/z",,"621.333796479451","1","3.61901666666667","0.209116666666667","0","2.4757973449141E-14","1.8964607662042E-11","Infinity","DEN_Adj_Fasted24h","DEN_Tumour_Fasted24h","100","948204.972047081","110.69","2791802.43207993","1311708.19599377","326283.579701415","269932.558940535","0","1784774.71398834","152933.323625576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2811973.46094103","1324225.10562013","325627.711242555","236496.072178589","0","1390344.65492283","166800.359498296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"x",,,,,,,,,,
"4.35_253.0713m/z",,"253.071268735704","1","4.3526","0.652683333333333","3","2.43749465056453E-12","1.49369672186594E-09","Infinity","DEN_Adj_Fasted24h","DEN_Tumour_Fed","100 - 3.19","22600014.9706181","35.77","19963803.801128","21620843.076115","2022263.15411721","38393673.7089218","26483190.7426346","48976368.6986893","739961.612720794","138245.358869253","4996432.22581089","45275.0896954092","6623962.78148071","17849183.8085317","6288430.77456672","918328.169988252","547573.549405822","18908.3821915567","0","0","0","0","23279.6192041742","0","0","0","0","36448.3633745258","0","0","0","0","0","0","0","0","0","0","0","0","9902.3719947173","20057.7492519112","1120203.93265749","1204071.88927405","1305866.90923216","1603602.63231377","1625295.31900514","642099.750726405","960708.910732701","530736.219585536","20108044.1162817","21827158.8860306","2018198.16678467","33637857.7830866","21947287.4193156","38152732.6132868","807056.696936427","152511.684970573","4150504.42308372","52249.749302675","6271968.29464706","15146556.159755","4854792.44018649","792989.505861128","418956.751263495","16238.0866247543","0","0","0","0","25491.227536223","0","0","0","0","30961.4989279429","0","0","0","0","0","0","0","0","0","0","0","0","18353.5527344179","31920.1074194756","1126817.26841433","1213848.1125086","1301840.57804607","1603602.63231377","1650709.66582381","632189.609374391","927190.427424361","508067.644786401","x",,,,,,,,,,,
"10.75_171.0660m/z",,"171.066027866305","1","10.7450833333333","0.309166666666668","1","5.85942405706419E-12","2.99221255180745E-09","4.50653328805279","DEN_Adj_Fasted24h","PBQCs","100 - 0.0417","5732244.81975221","16.67","4381138.06713549","2837716.04075799","5048973.59314839","5961722.61871438","5863745.22681368","8589240.02149474","7443178.17020077","3836571.01164443","2845579.78565282","3288270.05218215","3240015.4131447","5140330.99194304","4360345.47858387","5012344.81155073","4171893.93467213","4410633.70401706","4538955.63523274","4694347.88728122","6922624.98737923","3335192.72909329","4795141.44302039","2296993.86375862","4225444.68772758","2535198.28895896","2866777.66589617","3364173.45161118","2971852.58586966","2042484.46360619","2535935.13655096","2708905.68050455","2712398.47122142","1888865.68628342","2552988.56960588","2256386.30738443","1501182.72126205","1919783.32029472","3328259.41469106","3421922.99920203","1416177.38466018","1811364.99104529","879172.385853276","1093432.47105083","1316249.78449055","1373468.05773001","1203891.38372231","1375036.99135568","1578271.50417431","1356361.10578246","4412792.19186194","2864794.80365351","5038824.56103224","5223245.3479419","4859433.40805002","6691042.77427167","8118078.94556034","4232488.62949918","2363805.00181264","3794830.3807211","3067842.41032055","4362009.65177911","3366272.60836609","4328231.41575636","3191978.7421849","3787751.45490083","5311116.16425246","4033152.800782","8181438.43878548","5607951.54760589","5250689.047804","2726401.41074493","4025294.95215937","2268379.65383087","2489875.94016206","2857737.44201289","3357648.10434146","1988042.60687323","2599708.20011019","2468997.81189467","2230003.81902396","1538260.7610818","2000223.56508586","2191960.3918866","1570915.50227992","2156036.86630806","2789906.11404289","2756586.79482607","2624814.16821311","2882624.78326344","884362.746292377","1102310.37944163","1312191.44016885","1373468.05773001","1222716.33990114","1353814.72653909","1523206.68019099","1298428.79958885",,"x",,,,,,,,,,
"4.21_255.0620m/z",,"255.061956213092","1","4.20931666666667","0.313333333333333","0","8.9154017501869E-11","3.90239870893895E-08","Infinity","DEN_Tumour_Fed","DEN_Adj_Fasted24h","100","510314.70802529","28.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","708290.824721165","676808.963221854","1033370.34357923","11175.9151451123","686894.008608062","109702.740455164","621097.513041498","1206923.5986039","334141.351913676","610163.150253727","0","690174.601909064","404798.838268759","232256.439729561","736418.887616571","150089.179595513","52933.18478612","80536.6609754108","130252.965130864","105338.477794674","93443.9645553735","95956.9810831926","101499.53079868","83067.6946010124","40552.5881920247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","633746.28437933","587827.362288777","877808.818358568","12626.733398449","668585.039372946","112461.517577982","566091.470703055","992274.646484689","272119.152799575","478052.55621373","0","722234.519530926","454614.439827581","194688.44837249","593234.442019217","278182.81054694","84238.4119577576","81012.1243836688","131310.528284215","105013.691558618","93443.9645553735","97457.4370116653","99932.9911819926","80169.5189893978","38820.5236657948",,"x",,,,,,,,,,
"9.42_164.0022m/z",,"164.002203956756","1","9.42483333333333","0.357083333333332","1","2.09070205592354E-10","8.00738887418717E-08","Infinity","DEN_Tumour_Fasted24h","DEN_Tumour_Fed","100","2993516.09933053","46.67","1278039.50041017","0","1289481.91299761","2858312.02102933","1810886.36006998","2365300.76041018","1237000.41025364","2448991.52863377","4521376.41168925","1391698.61057925","1076258.09570078","3022345.28961571","3323340.07505811","5170602.68403683","4944734.6931676","2860700.40416066","3392128.95595018","2770172.16286984","1855108.51880239","1115930.72920088","3354751.21764732","1577599.12139649","4873779.88271583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12845.0081017163","0","0","0","0","0","0","0","0","0","1287273.45312551","0","1286889.90234302","2504253.53905972","1500727.15234389","1842576.12109058","1349163.85937577","2701716.91524079","3755878.58436266","1606090.7663982","1019066.21093417","2564717.98119162","2565684.00781554","4464889.35156051","3783290.82030595","2456704.14843704","3969192.99878815","2379995.66406177","2192442.34253894","1876378.95862899","3673458.99717875","1872520.66190863","4642919.97876857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23807.5820313199","0","0","0","0","0","0","0","0","0",,"x",,,,,,,,,,
